A17.803+G07* A17.802+G07*
A17.804+G05.0* A17.804+G05.0*
A17.806+G07* A17.801+G07*
A17.807+G05.0* A17.800x007+G05.0*
A17.901+G99.8* A17.900x001+G99.8*
A18.001+M90.0* A18.003+M90.0*
A18.002+M90.0* A18.000x002+M90.0*
A18.003+M90.0* A18.000x003+M90.0*
A18.004+H75.0* A18.000x004+H75.0*
A18.005+M90.0* A18.004+M90.0*
A18.006+M90.0* A18.000x006+M90.0*
A18.007+M49.0* A18.005+M49.0*
A18.008+M01.1* A18.027+M01.1*
A18.009+M01.1* A18.029+M01.1*
A18.010+M49.0* A18.006+M49.0*
A18.011+M49.0* A18.007+M49.0*
A18.012+M01.1* A18.037+M01.1*
A18.013+M49.0* A18.000x013+M49.0*
A18.014+M49.0* A18.032+M49.0*
A18.015+M01.1* A18.000x015+M01.1*
A18.016+M49.0* A18.010+M49.0*
A18.017+M68.0* A18.041+M68.0*
A18.018+M73.8* A18.000x018+M73.8*
A18.019+M01.1* A18.000x019+M01.1*
A18.020+M49.0* A18.011+M49.0*
A18.021+M01.1* A18.002+M01.1*
A18.022+M01.1* A18.028+M01.1*
A18.023+M01.1* A18.031+M01.1*
A18.024+M68.0* A18.033+M01.1*
A18.025+M01.1* A18.036+M01.1*
A18.026+M90.0* A18.015+M90.0*
A18.027+M90.0* A18.014+M90.0*
A18.028+M01.1* A18.034+M01.1*
A18.029+M68.0* A18.035+M01.1*
A18.031+M90.0* A18.016+M90.0*
A18.032+M90.0* A18.021+M90.0*
A18.033+M90.0* A18.026+M90.0*
A18.034+M90.0* A18.000x034+M90.0*
A18.035+M90.0* A18.000x035+M90.0*
A18.036+M90.0* A18.018+M90.0*
A18.037+M90.0* A18.023+M90.0*
A18.038+M90.0* A18.022+M90.0*
A18.039+M90.0* A18.024+M90.0*
A18.041+M01.1* A18.000x041+M01.1*
A18.042+M90.0* A18.000x042+M90.0*
A18.043+M68.0* A18.042+M68.0*
A18.044+M90.0* A18.019+M90.0*
A18.045+M49.0* A18.009+M49.0*
A18.046+M68.0* A18.000x046+M68.0*
A18.047+M49.0* A18.000x047+M49.0*
A18.048+M49.0* A18.000x048+M49.0*
A18.049+M49.0* A18.000x049+M49.0*
A18.053+M01.1* A18.000x053+M01.1*
A18.054+M90.0* A18.020+M90.0*
A18.057+M49.0* A18.000x057+M49.0*
A18.058+M68.0* A18.000x058+M68.0*
A18.060+M90.0* A18.000x060+M90.0*
A18.062+M68.0* A18.000x062+M68.0*
A18.063+M90.0* A18.000x063+M90.0*
A18.064+M90.0* A18.000x064+M90.0*
A18.065+M90.0* A18.000x065+M90.0*
A18.066+M49.0* A18.000x066+M49.0*
A18.101 A18.102
A18.102+N33.0* A18.108+N33.0*
A18.103 A18.101
A18.104+N74.1* A18.111+N74.1*
A18.105+N51.1* A18.118+N51.1*
A18.106+N51.1* A18.117+N51.1*
A18.107+N74.1* A18.115+N74.1*
A18.108+N74.0* A18.112+N74.0*
A18.109+N51.8* A18.119+N51.8*
A18.110+N74.1* A18.114+N74.1*
A18.111+N51.0* A18.109+N51.0*
A18.112+N29.1* A18.103+N29.1*
A18.113+N29.1* A18.104+N29.1*
A18.114+N51.8* A18.110+N51.8*
A18.115+N74.1* A18.113+N74.1*
A18.116+N29.1* A18.107+N29.1*
A18.117+N29.1* A18.106+N29.1*
A18.118+N51.8* A18.100x018+N51.8*
A18.119+N77.1* A18.100x019+N77.1*
A18.120+N51.8* A18.100x020+N51.8*
A18.121+N37.8* A18.100x021+N37.8*
A18.122+N37.8* A18.100x022+N37.8*
A18.123+N51.8* A18.116+N51.8*
A18.124+N74.1* A18.100x024+N74.1*
A18.125+N29.1* A18.100x025+N29.1*
A18.126+N74.1* A18.100x026+N74.1*
A18.127+N51.0* A18.109+N51.0*
A18.128+N33.0* A18.108+N33.0*
A18.129+N74.1* A18.111+N74.1*
A18.130+N77.0* A18.100x030+N77.0*
A18.131 A18.100x031
A18.132 A18.100x032
A18.201 A18.210
A18.202 A18.200x002
A18.203 A18.211
A18.204 A18.205
A18.205 A18.200x005
A18.206 A18.200x006
A18.207 A18.203
A18.208 A18.206
A18.209 A18.207
A18.210 A18.200x010
A18.301+K93.0* A18.303+K93.0*
A18.302+K93.0* A18.315+K93.0*
A18.303+K93.0* A18.316+K93.0*
A18.304+K93.0* A18.311+K93.0*
A18.305+K93.0* A18.306+K93.0*
A18.306+K67.3* A18.300x006+K67.3*
A18.307+K67.3* A18.314+K67.3*
A18.308 A18.310
A18.309 A18.300x009
A18.310 A18.308
A18.311 A18.301
A18.312 A18.300x012
A18.313+K93.0* A18.300x013+K93.0*
A18.314+K93.0* A18.300x014+K93.0*
A18.315+K93.0* A18.300x015+K93.0*
A18.316 A18.309
A18.401 A18.400x001
A18.402 A18.406
A18.403 A18.313+K93.0*
A18.404 A18.408
A18.405 A18.405
A18.406 A18.400x006
A18.407 A18.402
A18.408 A18.401
A18.409 A18.407
A18.410 A18.400x010
A18.411 A18.410
A18.412 A18.404
A18.413 A18.400x013
A18.414 A18.400x014
A18.415 A18.400x015
A18.416 A18.400x016
